sex,age,exercise,innovation,user,try,train,cv
0,30~39,1,0.585718264,0,0,FALSE,0
1,10~19,1,0.640021327,0,1,FALSE,4
1,10~19,0,0.099315472,0,1,TRUE,0
0,30~39,1,0.745144272,0,0,TRUE,1
1,30~39,0,0.076071049,1,1,TRUE,1
1,30~39,1,0.758545988,0,1,FALSE,3
0,30~39,1,0.715864656,0,0,TRUE,4
1,10~19,0,0.229040942,1,1,TRUE,0
1,20~29,1,0.148496107,0,1,TRUE,0
1,20~29,1,0.266024535,0,1,TRUE,3
1,30~39,1,0.718250315,1,1,TRUE,2
0,20~29,1,0.560654127,0,1,TRUE,4
1,20~29,1,0.243723552,0,1,TRUE,1
0,20~29,0,0.529439626,0,1,FALSE,4
1,20~29,0,0.746993904,0,0,FALSE,4
1,30~39,0,0.565239263,0,1,TRUE,4
0,10~19,1,0.488972139,0,0,TRUE,4
1,10~19,1,0.290371706,0,1,TRUE,0
1,10~19,1,0.403563729,0,1,TRUE,3
0,30~39,0,0.642258606,0,0,FALSE,1
0,10~19,1,0.330223634,0,0,TRUE,1
0,10~19,0,0.827913786,0,1,TRUE,4
1,30~39,0,0.417662565,0,1,FALSE,2
0,20~29,1,0.270526805,0,0,TRUE,1
0,20~29,1,0.69577154,0,1,FALSE,1
1,20~29,1,0.851854881,0,1,TRUE,3
0,30~39,1,0.277150402,0,1,TRUE,2
1,30~39,1,0.967332763,0,1,TRUE,2
1,30~39,1,0.150515265,0,1,TRUE,0
1,30~39,1,0.150253323,0,0,TRUE,3
0,20~29,1,0.55173354,0,1,TRUE,2
1,10~19,1,0.449390562,1,1,TRUE,3
1,30~39,1,0.803200859,0,1,TRUE,0
0,10~19,1,0.124520102,1,1,TRUE,0
1,30~39,0,0.796120508,0,0,FALSE,4
0,30~39,0,0.216297407,0,0,TRUE,1
0,20~29,1,0.738240961,0,1,TRUE,0
0,20~29,1,0.718585902,0,0,TRUE,2
1,20~29,1,0.987707885,1,1,TRUE,2
0,20~29,1,0.342925161,0,1,FALSE,3
0,30~39,0,0.789255103,0,0,TRUE,1
0,30~39,0,0.498001366,0,1,TRUE,4
0,30~39,1,0.331193521,0,1,FALSE,1
0,10~19,1,0.808954032,1,1,FALSE,2
1,30~39,0,0.618725523,1,0,TRUE,2
1,30~39,0,0.270385373,0,0,TRUE,0
0,30~39,1,0.59708003,0,1,TRUE,2
1,30~39,1,0.844352002,0,1,TRUE,3
1,30~39,1,0.581896004,0,0,TRUE,4
0,30~39,0,0.13439361,0,0,FALSE,4
1,20~29,1,0.064340603,0,1,FALSE,2
0,10~19,0,0.511253176,0,1,TRUE,4
1,20~29,1,0.437419503,0,1,FALSE,2
0,30~39,1,0.32647839,0,1,TRUE,2
1,20~29,0,0.705407387,0,1,FALSE,1
1,10~19,1,0.214694297,0,0,FALSE,2
0,30~39,1,0.805472313,0,1,FALSE,2
1,20~29,1,0.608509578,0,1,FALSE,4
0,20~29,1,0.370987777,1,1,FALSE,2
0,30~39,1,0.990638271,0,1,FALSE,2
1,30~39,1,0.271442926,0,0,TRUE,2
1,20~29,1,0.395106241,0,1,FALSE,0
1,20~29,1,0.686697928,0,1,TRUE,0
1,30~39,0,0.744093228,1,0,TRUE,2
0,10~19,1,0.10916023,1,0,TRUE,2
1,10~19,1,0.831268731,0,1,FALSE,1
1,10~19,1,0.948332168,0,1,TRUE,1
0,20~29,0,0.017709375,1,0,TRUE,2
0,30~39,1,0.059348909,0,0,FALSE,3
0,30~39,1,0.181240538,0,1,TRUE,3
0,30~39,1,0.836998082,0,0,FALSE,2
0,20~29,1,0.846788266,0,1,TRUE,2
1,20~29,0,0.090830571,0,0,FALSE,4
1,10~19,1,0.967990007,1,1,TRUE,0
0,10~19,1,0.84582005,0,1,TRUE,3
1,20~29,1,0.435725842,1,1,TRUE,2
0,20~29,1,0.500666482,0,1,TRUE,0
0,20~29,1,0.533469916,1,1,FALSE,3
0,30~39,0,0.188774803,1,0,TRUE,0
0,20~29,1,0.062250898,0,0,TRUE,4
0,20~29,1,0.255584398,0,1,TRUE,3
0,30~39,1,0.56025711,0,1,TRUE,0
1,10~19,1,0.740149739,1,1,TRUE,0
0,20~29,0,0.594665677,0,0,FALSE,1
1,20~29,1,0.352262181,0,0,TRUE,4
0,30~39,1,0.709082979,0,1,TRUE,2
0,10~19,1,0.785982412,0,0,TRUE,2
0,10~19,1,0.940701438,0,1,TRUE,0
0,10~19,1,0.70132955,0,0,TRUE,4
1,20~29,1,0.192845783,0,0,TRUE,2
0,10~19,1,0.539120462,0,0,TRUE,2
1,20~29,1,0.266658288,0,1,TRUE,3
1,10~19,1,0.197240504,0,1,TRUE,4
0,20~29,0,0.844495016,0,0,TRUE,0
1,10~19,1,0.627699522,0,1,TRUE,4
0,30~39,0,0.120061385,0,0,FALSE,4
0,30~39,1,0.3371684,1,0,TRUE,2
0,30~39,0,0.87769486,0,1,FALSE,4
1,20~29,1,0.082168352,0,1,TRUE,0
1,20~29,1,0.864623566,0,0,FALSE,2
1,10~19,1,0.543690928,0,1,FALSE,2
1,10~19,0,0.921686464,0,1,TRUE,3
0,10~19,1,0.607297856,1,0,TRUE,3
1,20~29,0,0.533069476,1,0,TRUE,0
0,30~39,1,0.476622494,0,1,FALSE,2
1,10~19,0,0.31720881,0,1,TRUE,4
1,30~39,1,0.091252567,0,1,TRUE,0
0,10~19,1,0.126079593,0,0,FALSE,0
1,30~39,0,0.397367993,0,0,TRUE,4
0,30~39,1,0.83982473,0,1,FALSE,4
0,10~19,1,0.751687636,0,1,TRUE,3
0,10~19,1,0.138300747,0,0,TRUE,4
0,30~39,1,0.893409357,0,1,FALSE,0
1,10~19,0,0.433329574,0,1,TRUE,0
0,30~39,1,0.89346244,0,0,FALSE,1
1,10~19,1,0.308329992,0,1,TRUE,1
1,20~29,0,0.863029922,0,1,FALSE,0
0,10~19,0,0.519786264,1,0,TRUE,4
1,20~29,0,0.869909184,0,0,FALSE,1
1,30~39,1,0.777343828,0,1,TRUE,0
1,10~19,0,0.103375361,1,1,TRUE,2
1,10~19,0,0.056078253,0,0,TRUE,0
0,10~19,1,0.965776831,0,1,TRUE,0
0,20~29,1,0.150444907,1,1,TRUE,3
0,30~39,0,0.809226509,0,1,FALSE,0
1,10~19,1,0.104165501,0,1,TRUE,0
0,10~19,1,0.579780591,0,0,TRUE,2
0,20~29,0,0.679494509,0,1,TRUE,0
1,30~39,0,0.542423637,1,0,TRUE,3
0,10~19,0,0.088437883,0,1,FALSE,1
0,20~29,1,0.539839487,0,0,TRUE,0
0,20~29,1,0.330887344,0,0,FALSE,1
0,10~19,1,0.520299148,0,1,TRUE,1
1,20~29,1,0.615466103,0,1,FALSE,0
1,30~39,1,0.643220853,0,1,TRUE,4
1,20~29,1,0.346594778,0,1,TRUE,0
1,10~19,1,0.644668672,0,1,TRUE,4
0,20~29,0,0.336505386,0,0,FALSE,3
0,20~29,1,0.815961119,0,1,FALSE,1
1,20~29,1,0.765929859,1,1,FALSE,4
1,20~29,0,0.820444586,1,1,FALSE,4
0,20~29,1,0.299175012,1,1,TRUE,2
1,20~29,1,0.603453633,1,1,FALSE,2
1,30~39,1,0.132606791,0,1,TRUE,1
0,30~39,0,0.892755657,0,1,TRUE,3
0,30~39,1,0.62741915,1,1,TRUE,4
0,30~39,0,0.414936542,0,0,TRUE,2
0,20~29,1,0.444895222,0,1,FALSE,1
0,10~19,1,0.269658409,0,1,TRUE,0
0,30~39,1,0.925289441,0,1,TRUE,0
1,10~19,1,0.918039133,0,1,TRUE,4
0,30~39,1,0.10896372,0,1,FALSE,3
1,10~19,1,0.455595412,0,0,FALSE,0
1,10~19,1,0.97957542,0,1,TRUE,1
0,20~29,0,0.704934203,0,0,FALSE,1
0,10~19,1,0.903871633,0,0,TRUE,2
0,10~19,1,0.048069985,1,0,FALSE,4
0,30~39,0,0.589477418,0,0,TRUE,0
0,30~39,1,0.184694206,1,1,FALSE,4
1,30~39,1,0.32998175,0,0,TRUE,1
0,20~29,1,0.634030651,0,1,FALSE,0
0,10~19,1,0.74257211,0,1,TRUE,2
1,10~19,0,0.962808493,0,1,TRUE,1
0,10~19,0,0.943789853,0,0,TRUE,3
1,10~19,1,0.230670284,1,1,TRUE,2
0,20~29,0,0.071687131,0,1,TRUE,1
1,10~19,0,0.654060127,0,1,FALSE,1
0,30~39,1,0.694420422,0,0,FALSE,0
1,20~29,1,0.409478389,0,0,FALSE,4
0,20~29,1,0.764690473,0,1,FALSE,0
1,10~19,0,0.564946362,0,1,TRUE,2
1,10~19,1,0.50346632,0,1,TRUE,3
1,30~39,1,0.615856062,1,1,FALSE,3
1,30~39,1,0.00599972,0,0,TRUE,0
1,30~39,1,0.454797065,0,1,FALSE,1
1,30~39,0,0.063010871,0,0,FALSE,2
1,20~29,1,0.779670353,0,0,FALSE,0
0,30~39,0,0.910181263,0,1,TRUE,2
1,20~29,1,0.031006668,0,1,FALSE,4
1,20~29,0,0.968486172,1,1,FALSE,1
1,10~19,1,0.699215222,0,1,TRUE,0
1,20~29,1,0.472944106,0,0,TRUE,3
1,20~29,1,0.080620793,0,0,FALSE,0
0,30~39,1,0.640692438,0,0,FALSE,0
1,20~29,1,0.44798153,0,1,FALSE,3
1,20~29,0,0.814003891,1,0,TRUE,2
1,10~19,0,0.104969321,0,0,TRUE,2
0,30~39,1,0.01473274,0,0,TRUE,1
0,30~39,1,0.897755714,0,0,TRUE,0
1,10~19,0,0.307771017,0,1,TRUE,1
0,10~19,1,0.732471999,0,1,FALSE,0
1,10~19,0,0.978171139,0,1,TRUE,1
0,20~29,1,0.169601286,0,1,TRUE,3
0,30~39,0,0.361735054,1,1,FALSE,3
1,10~19,1,0.508072419,0,1,TRUE,1
0,30~39,0,0.81713539,0,0,FALSE,4
1,20~29,1,0.762879469,1,1,TRUE,0
0,30~39,1,0.356059358,1,0,TRUE,1
1,30~39,1,0.049321179,1,1,FALSE,0
1,10~19,0,0.008314678,1,0,TRUE,3
0,20~29,0,0.500351614,0,0,FALSE,1
0,20~29,1,0.651119469,0,1,FALSE,3
1,20~29,0,0.306925231,1,1,TRUE,0
0,30~39,1,0.483081341,0,1,TRUE,3
1,30~39,0,0.281364765,1,0,TRUE,3
0,10~19,1,0.860280365,0,1,TRUE,4
0,10~19,0,0.941873584,0,1,FALSE,0
1,10~19,0,0.867948765,0,1,FALSE,3
1,30~39,0,0.259882245,1,0,TRUE,3
1,10~19,0,0.460394048,0,1,FALSE,2
0,20~29,0,0.143423342,0,1,TRUE,1
0,30~39,1,0.62091444,0,1,TRUE,2
1,10~19,1,0.036448253,0,1,TRUE,2
1,10~19,1,0.306221515,0,1,TRUE,4
1,30~39,0,0.291395679,0,0,TRUE,0
1,30~39,1,0.022145161,0,1,FALSE,1
0,20~29,0,0.315959473,0,0,FALSE,3
1,30~39,1,0.699387794,0,0,FALSE,2
0,30~39,0,0.294018869,0,0,FALSE,0
0,20~29,1,0.969480518,0,1,FALSE,0
0,20~29,1,0.517534009,0,0,TRUE,2
1,20~29,1,0.880731247,1,1,TRUE,0
0,30~39,0,0.856376551,0,0,TRUE,4
1,20~29,1,0.678888447,0,1,TRUE,2
1,10~19,1,0.231522017,0,1,TRUE,2
0,20~29,1,0.605846711,0,0,TRUE,0
1,20~29,1,0.432428524,0,0,TRUE,0
1,30~39,1,0.28138134,1,1,TRUE,3
1,10~19,0,0.721572629,0,0,TRUE,4
0,30~39,1,0.116510277,1,1,TRUE,3
0,30~39,1,0.674136646,1,1,TRUE,4
0,20~29,1,0.764293688,0,1,FALSE,3
0,30~39,0,0.702060277,0,0,TRUE,2
0,30~39,1,0.727756659,0,0,TRUE,0
1,10~19,0,0.050945669,1,0,TRUE,3
0,10~19,0,0.066427955,0,1,TRUE,1
1,10~19,0,0.901731276,0,0,TRUE,3
0,30~39,0,0.516540541,0,1,TRUE,3
1,20~29,1,0.349113901,0,1,TRUE,1
1,10~19,1,0.743463988,0,1,TRUE,0
0,30~39,1,0.05689106,0,1,FALSE,4
1,20~29,1,0.124892736,0,1,FALSE,0
1,20~29,1,0.917203318,1,0,TRUE,2
1,20~29,0,0.964005695,0,1,FALSE,1
0,20~29,0,0.267118849,0,1,TRUE,4
1,20~29,1,0.528321799,1,1,TRUE,1
1,30~39,0,0.682860932,0,0,TRUE,0
0,10~19,1,0.443370881,0,1,FALSE,3
1,20~29,1,0.582071728,0,0,TRUE,4
0,10~19,1,0.723210073,0,1,TRUE,2
0,20~29,0,0.546454879,1,0,TRUE,4
1,10~19,0,0.374278235,0,1,FALSE,0
1,30~39,1,0.833097487,0,1,TRUE,1
0,20~29,1,0.176207637,0,1,TRUE,0
0,30~39,1,0.369900635,0,0,TRUE,4
1,10~19,1,0.565456667,1,1,FALSE,1
0,20~29,1,0.481617706,1,1,FALSE,2
0,20~29,0,0.706085317,0,1,TRUE,4
1,10~19,0,0.337935297,0,1,FALSE,3
1,30~39,0,0.509955771,1,1,TRUE,2
1,10~19,1,0.000554554,0,1,FALSE,3
0,30~39,0,0.031064717,0,0,TRUE,2
1,10~19,1,0.034335742,0,1,FALSE,3
1,20~29,1,0.829000189,0,0,TRUE,0
1,30~39,0,0.161498928,0,1,TRUE,1
1,20~29,0,0.805232985,0,0,TRUE,1
0,30~39,1,0.778914973,0,1,TRUE,1
0,10~19,1,0.251610118,0,0,TRUE,2
0,30~39,1,0.042998188,0,1,TRUE,4
0,30~39,1,0.614888879,0,0,FALSE,4
0,30~39,0,0.258859651,0,0,TRUE,4
0,10~19,1,0.490738573,0,1,TRUE,3
1,10~19,0,0.053239626,0,0,TRUE,1
1,20~29,1,0.167363534,1,1,TRUE,1
0,10~19,1,0.260885433,1,1,TRUE,2
0,30~39,1,0.367245979,0,1,TRUE,0
0,30~39,1,0.732344914,0,1,TRUE,2
0,30~39,1,0.904305407,0,1,TRUE,3
0,10~19,1,0.850296813,0,1,FALSE,4
0,10~19,0,0.167020814,0,0,FALSE,3
1,10~19,1,0.749217831,1,0,FALSE,0
0,30~39,0,0.120121061,0,0,TRUE,3
1,30~39,0,0.481533958,0,1,FALSE,3
0,30~39,1,0.060985825,0,1,TRUE,1
1,20~29,0,0.781954312,0,1,TRUE,2
1,30~39,0,0.755076597,0,1,TRUE,2
0,20~29,1,0.335895354,0,1,TRUE,0
1,30~39,0,0.446135488,0,1,FALSE,0
0,30~39,0,0.142496904,0,0,TRUE,3
0,30~39,0,0.242086712,0,1,FALSE,2
1,30~39,1,0.97153085,0,0,TRUE,1
0,30~39,1,0.912929215,1,0,FALSE,3
0,20~29,1,0.057356397,0,1,TRUE,3
0,20~29,0,0.487694514,1,0,TRUE,0
0,10~19,1,0.778658113,1,1,FALSE,2
1,10~19,1,0.097160989,0,1,TRUE,2
1,10~19,0,0.25953049,0,1,FALSE,2
1,20~29,1,0.155533242,1,1,TRUE,1
1,10~19,1,0.737031867,0,1,TRUE,2
1,10~19,1,0.1906999,0,1,TRUE,2
1,30~39,1,0.691485633,0,1,TRUE,0
0,20~29,0,0.304841802,0,1,TRUE,4
1,30~39,0,0.388188419,0,1,TRUE,3
1,20~29,1,0.664871811,0,1,FALSE,2
0,10~19,1,0.124249434,0,1,FALSE,0
1,10~19,1,0.494295085,1,1,TRUE,4
0,10~19,0,0.660108297,1,1,TRUE,2
0,10~19,1,0.376164288,0,1,FALSE,3
1,10~19,1,0.234342779,0,0,FALSE,1
1,10~19,0,0.70449872,0,1,TRUE,3
1,10~19,1,0.695359798,0,1,TRUE,3
0,10~19,0,0.827531535,0,0,TRUE,1
0,30~39,1,0.900694616,0,1,TRUE,0
0,20~29,0,0.940388351,0,1,FALSE,1
0,10~19,1,0.028077893,0,0,TRUE,2
1,20~29,0,0.464920178,0,0,TRUE,1
0,10~19,0,0.320624624,0,1,TRUE,1
1,30~39,1,0.434684264,0,1,TRUE,0
0,20~29,1,0.053524977,0,1,TRUE,1
1,30~39,1,0.971394984,1,0,TRUE,4
1,20~29,1,0.710423963,0,1,TRUE,4
0,20~29,1,0.476013336,0,1,FALSE,4
1,20~29,0,0.16711726,1,0,TRUE,0
0,10~19,1,0.348135852,1,1,TRUE,2
0,10~19,1,0.316409068,0,1,TRUE,1
0,30~39,0,0.243988104,0,0,TRUE,3
0,10~19,1,0.911512761,1,1,TRUE,0
1,10~19,0,0.809396881,0,1,TRUE,2
0,20~29,0,0.774552208,0,1,TRUE,0
1,20~29,1,0.663992753,0,1,TRUE,1
1,10~19,0,0.065759581,1,0,TRUE,4
1,30~39,1,0.855497288,1,1,TRUE,2
0,30~39,0,0.621237355,0,0,FALSE,3
0,10~19,0,0.498012936,0,1,TRUE,1
0,20~29,0,0.365310721,0,1,FALSE,4
1,10~19,0,0.23203579,0,1,FALSE,4
1,20~29,1,0.018598277,0,0,FALSE,4
1,30~39,0,0.079955144,0,0,TRUE,3
1,20~29,1,0.160315684,0,0,FALSE,0
0,10~19,1,0.183264303,1,1,TRUE,1
0,10~19,0,0.836590601,1,0,TRUE,4
1,10~19,1,0.449080486,0,1,FALSE,0
1,20~29,1,0.998375113,0,1,TRUE,3
1,30~39,1,0.088704927,0,0,FALSE,0
1,10~19,0,0.39395022,0,1,FALSE,0
1,30~39,1,0.931753224,0,0,TRUE,4
0,10~19,1,0.773984919,0,0,TRUE,2
1,10~19,1,0.65816696,0,1,TRUE,1
0,30~39,1,0.883710322,1,1,TRUE,1
1,20~29,0,0.261966652,1,0,TRUE,4
0,20~29,0,0.249280897,0,0,TRUE,2
1,20~29,0,0.85739822,0,1,TRUE,0
0,20~29,1,0.427691536,0,1,TRUE,4
1,10~19,1,0.270623855,0,1,FALSE,2
0,30~39,0,0.402304944,0,0,TRUE,4
0,10~19,0,0.666940644,0,0,FALSE,4
0,30~39,1,0.311912458,0,1,FALSE,1
0,10~19,1,0.323463305,0,1,TRUE,4
0,20~29,0,0.656624907,0,1,TRUE,4
1,20~29,1,0.943989486,1,1,TRUE,2
0,30~39,0,0.562160123,0,0,TRUE,4
0,10~19,0,0.466144113,0,1,FALSE,4
1,30~39,1,0.279146476,0,1,TRUE,4
1,10~19,1,0.63774872,0,1,TRUE,3
0,30~39,1,0.090581468,0,0,TRUE,2
0,20~29,1,0.616658568,0,0,TRUE,4
0,10~19,1,0.448253612,0,1,TRUE,2
0,10~19,1,0.000387599,0,0,TRUE,3
0,30~39,1,0.946335687,0,1,TRUE,4
0,10~19,1,0.072236504,0,1,TRUE,4
0,10~19,0,0.881241538,1,0,TRUE,4
1,30~39,1,0.883237733,0,1,TRUE,0
0,10~19,0,0.524722177,0,1,TRUE,4
1,10~19,1,0.953522761,0,1,TRUE,2
1,30~39,1,0.210340328,0,0,TRUE,3
0,10~19,1,0.269583901,0,0,FALSE,3
1,20~29,1,0.862536245,0,1,TRUE,0
1,20~29,1,0.676657016,1,1,TRUE,2
1,30~39,1,0.104077343,0,1,FALSE,1
0,10~19,1,0.628558548,0,1,TRUE,3
1,10~19,0,0.791987478,1,1,TRUE,3
1,30~39,0,0.55392697,0,1,TRUE,1
0,10~19,0,0.403262525,0,1,FALSE,2
1,10~19,1,0.606098661,0,1,FALSE,1
1,20~29,1,0.230109,0,1,TRUE,1
0,10~19,1,0.272262537,0,1,TRUE,3
0,30~39,0,0.65762888,1,1,TRUE,1
0,30~39,1,0.266767697,0,0,TRUE,0
1,20~29,1,0.957888747,0,1,TRUE,2
1,10~19,1,0.103120277,1,1,FALSE,3
1,30~39,1,0.277239808,1,1,TRUE,0
0,10~19,0,0.811911226,0,1,TRUE,3
0,10~19,1,0.116301333,0,1,FALSE,2
1,10~19,1,0.997544233,1,1,FALSE,3
0,30~39,1,0.840144719,0,0,TRUE,0
1,30~39,1,0.398399543,0,0,TRUE,4
0,10~19,1,0.277608545,0,0,FALSE,2
1,30~39,1,0.206832224,0,1,TRUE,4
0,20~29,1,0.953322217,0,1,TRUE,0
1,10~19,1,0.636789982,0,1,FALSE,1
1,10~19,1,0.072735782,0,1,FALSE,2
0,30~39,1,0.966065076,1,0,TRUE,4
1,30~39,1,0.604092811,1,1,TRUE,0
0,10~19,1,0.735428547,0,0,FALSE,1
0,10~19,1,0.938563814,0,1,TRUE,4
0,10~19,1,0.286021737,0,1,TRUE,0
0,10~19,0,0.137695221,0,0,FALSE,2
0,10~19,1,0.647928939,0,0,TRUE,2
1,30~39,1,0.847606768,0,1,TRUE,4
1,10~19,1,0.651863294,0,1,TRUE,1
0,30~39,1,0.722020347,1,1,TRUE,4
0,30~39,1,0.529448678,0,1,TRUE,3
1,20~29,0,0.575988625,0,0,FALSE,1
0,30~39,0,0.175367371,0,0,TRUE,0
0,10~19,1,0.042256501,0,1,TRUE,0
0,10~19,0,0.60484853,0,0,TRUE,2
0,30~39,1,0.77199594,0,0,TRUE,4
0,10~19,1,0.204526017,0,1,FALSE,0
0,10~19,0,0.080321609,0,1,TRUE,0
1,10~19,1,0.849004457,0,1,FALSE,1
1,30~39,1,0.048873662,1,1,FALSE,1
1,10~19,1,0.560609016,0,1,FALSE,0
0,10~19,1,0.236765486,0,1,TRUE,1
1,30~39,0,0.756764677,0,0,TRUE,4
0,30~39,1,0.83082717,0,1,TRUE,2
0,10~19,1,0.815602078,0,1,FALSE,0
0,10~19,1,0.674737146,1,1,TRUE,2
1,10~19,0,0.426482742,0,1,FALSE,4
0,10~19,1,0.35679511,0,1,TRUE,3
0,10~19,0,0.438617875,0,0,FALSE,1
0,20~29,1,0.520573826,0,1,FALSE,2
1,10~19,1,0.984594391,0,1,TRUE,0
0,30~39,0,0.017343484,1,0,TRUE,1
0,30~39,0,0.701994824,0,0,TRUE,0
1,10~19,0,0.178807785,0,0,TRUE,0
0,30~39,1,0.251925327,1,0,TRUE,0
1,30~39,1,0.237804962,0,1,FALSE,4
1,10~19,1,0.079103084,1,0,TRUE,0
0,10~19,1,0.139711527,0,1,TRUE,0
0,10~19,1,0.378894443,0,0,TRUE,3
1,20~29,1,0.750337906,0,1,FALSE,4
1,20~29,1,0.020999323,0,1,FALSE,1
0,20~29,1,0.405590722,0,1,TRUE,3
0,20~29,0,0.021958152,0,0,TRUE,1
1,30~39,1,0.076260407,1,1,FALSE,4
0,20~29,1,0.090981549,1,1,TRUE,0
1,20~29,1,0.2450556,0,1,TRUE,1
1,10~19,0,0.511532212,1,1,FALSE,0
1,30~39,1,0.744066551,0,1,TRUE,2
0,20~29,0,0.033622233,0,0,FALSE,1
1,30~39,1,0.69158211,1,1,TRUE,2
1,10~19,1,0.572646452,0,1,TRUE,0
0,30~39,0,0.781962507,1,1,TRUE,2
0,30~39,1,0.632996332,0,1,TRUE,1
0,30~39,0,0.938266855,1,1,TRUE,3
1,10~19,1,0.648340574,0,1,FALSE,3
0,30~39,1,0.250949984,0,1,TRUE,3
0,10~19,0,0.924221304,0,1,TRUE,2
0,30~39,0,0.814391835,1,0,TRUE,4
0,20~29,1,0.651939248,0,0,TRUE,1
1,30~39,0,0.269261814,0,1,FALSE,2
1,20~29,1,0.51821044,0,1,TRUE,4
0,10~19,0,0.117230754,0,1,FALSE,4
1,20~29,1,0.065353835,1,1,FALSE,3
0,30~39,0,0.122126929,0,0,TRUE,1
0,10~19,0,0.646720364,0,1,TRUE,3
1,20~29,1,0.955735201,0,1,FALSE,2
0,30~39,0,0.243536977,0,1,TRUE,1
0,30~39,1,0.72324112,1,1,TRUE,4
0,20~29,0,0.718547445,0,1,TRUE,4
0,20~29,1,0.723119936,0,1,FALSE,1
0,10~19,1,0.190545645,0,1,FALSE,3
0,30~39,1,0.220990272,1,1,FALSE,0
0,30~39,0,0.607927004,0,0,FALSE,0
0,20~29,0,0.243908235,0,1,TRUE,1
0,30~39,0,0.319925067,1,1,TRUE,3
1,30~39,0,0.415308547,0,0,TRUE,4
0,20~29,1,0.140863584,0,1,TRUE,2
0,30~39,1,0.294342085,0,1,TRUE,1
0,20~29,1,0.763574935,0,0,TRUE,3
1,20~29,1,0.789943554,0,1,TRUE,0
1,20~29,0,0.224138043,1,1,TRUE,0
1,30~39,1,0.397695482,0,1,TRUE,0
1,10~19,0,0.989892941,0,0,FALSE,0
0,30~39,1,0.928230539,0,1,TRUE,2
1,30~39,1,0.205448399,0,0,FALSE,1
1,10~19,0,0.937156003,1,1,TRUE,3
